Sales,Shipping_Distance,Weight,Length
915.81,3380.07,2.63,101.73
851.54,3677.4,44.34,140.11
454.96,1049.31,1.48,72.93
104.46,2709.53,28.99,187.65
377.11,3480.44,21.98,12.64
672.15,1146.61,33.63,86.5
669.26,878.9,16.47,193.68
595.38,4910.93,7.84,111.85
281.97,2585.6,49.09,87.58
565.63,1307.84,41.96,115.86
389.1,4981.29,43.03,117.31
971.99,4827.27,12.59,147.67
850.42,2793.68,2.04,29.9
724.51,4413.77,15.23,53.75
243.63,947.59,26.9,118.21
263.51,1397.96,16.4,174.09
50.03,3503.29,41.41,114.56
713.56,4234.07,13.65,51.53
119.78,4282.34,48.27,137.57
444.94,2025.52,22.92,149.28
209.7,4439.41,42.12,51.46
896.81,4255.39,9.8,78.66
480.62,4678.5,20.63,109.19
567.64,3927.78,35.01,101.83
698.56,3346.6,7,80.98
147.94,2905.53,6.72,63.04
608.37,1864.55,48.48,24.5
544.44,4700.97,35.76,15.43
211.03,4868.45,2.15,191.92
943.43,1423.19,20,170.19
602.88,1530.29,21.73,74.21
697.84,2430.64,37.23,191.58
881.66,2244.88,12.62,136.97
628.11,4972.32,9.3,99.09
302.68,883.75,4.14,101.14
114.44,95.29,21.47,21.24
461.97,2472,34.46,22.88
226.26,898.22,3,122.48
422.34,1835.51,45.77,112.97
884.45,3722.13,22.17,46.48
331.1,3606.09,12.07,189.51
130.87,1543.76,4.78,157.35
362.73,2714.99,9.23,27.13
907.76,2546.53,46.74,186.53
279.41,3183.48,31.95,194.98
651.21,1256.06,25.88,199.21
10.52,2951.4,32.89,15.89
359.04,4894.57,21.84,148.72
311.73,2436.28,36.53,111.45
173.01,4530.96,2.48,142.64
538.75,2174.8,28.35,193.89
489.98,1753.64,8.02,139.17
695.51,3227.29,6.1,168.21
276.72,3346.28,17.16,174.04
251.68,4321.52,4.68,168.5
176.61,1154.78,4.8,88.09
226.58,2498.47,15.64,48.4
562.52,2862.16,48.98,82.35
409.8,3843.93,8.85,178.92
74.24,222.8,0.96,33.59
261.38,4972.78,38.19,105.1
254.41,2352.37,40.36,50.48
699.34,1401.4,17.38,118.35
715.15,4418.05,23.29,173.31
156.61,3739.86,32.52,176.67
997.76,4765.59,2.5,51.15
274.11,1657.1,47.46,182
976.85,2766.06,44.35,120.42
416.93,2863.6,13.12,73.29
42.72,4901.76,0.86,143.1
351.62,381.35,46.68,98.93
638.01,1531.96,25.1,78.71
683.9,958.6,27.01,142.49
535.63,1346.03,34.23,53.5
453.31,2428.97,30.83,69.4
557.36,1866.57,47.2,89.72
596.77,1976.48,47.22,54.47
90.04,4221.84,43.37,84.01
375.96,4650.43,31.86,116.44
249.74,356.73,40.07,149.49
805.11,1048.55,33.89,154.6
475.6,3357.36,28.71,165.44
983.59,1796.44,6.51,150.12
404.84,1274.55,40.58,137.8
818.27,1479.98,41.05,51.31
800.36,1616.14,31.33,83.04
159.21,4244.11,41.04,98.15
513.12,687.42,32.61,21.16
698.85,3546.01,10.41,108.03
859.78,2766.34,13.77,90.09
332.7,1486.07,10.81,161.41
228.04,2101.81,18.93,195.69
714.04,1284.75,2.04,113.42
811.41,3059.51,30.95,67.92
355.18,412.56,16.89,13.46
105.21,30.9,32.82,185.31
941.12,3141.33,19.33,184.23
403.6,975.4,34.11,54.33
522.57,359.35,17.1,140.61
839.33,1986.94,13.11,19.71
